sl_mode,target_r,symbol,trades,total_net_r,avg_net_r,profit_factor,win_rate_pct,stop_loss,target,end_of_day,avg_mfe_r,avg_mae_r
ATR_14_X1,3.0,ICICIBANK,811,-1820.6916689739332,-2.2449958926928892,0.06465301617425097,11.344019728729963,679,88,44,0.8057735880595812,1.2758896210544326
ATR_14_X1,3.0,INFY,758,-1344.6192138409042,-1.7739039760434092,0.12346087266860171,16.490765171503956,592,112,54,0.9837779413658337,1.2580028300730846
ATR_14_X1,3.0,OLAELEC,772,-626.4734685842362,-0.8114941302904615,0.3720460587927867,23.05699481865285,562,149,61,1.3416173256209065,1.2467541522904397
ATR_14_X1,3.0,RELIANCE,819,-1668.568215175008,-2.0373238280525126,0.08567806523015971,13.675213675213676,651,106,62,0.9717013994287728,1.2418771481673825
ATR_14_X1,3.0,SUZLON,738,-1047.7667021255652,-1.4197380787609284,0.18670216150633956,18.56368563685637,564,122,52,1.1092088887841058,1.2745232960843889
ATR_14_X1,3.0,TMPV,716,-1116.3306139643585,-1.5591209692239643,0.15507231463738066,18.575418994413408,538,114,64,1.0901057664542875,1.2262454878797784
ATR_14_X1_5,1.0,ASHOKLEY,775,-700.7869377702468,-0.9042412100261249,0.11597911803011457,33.935483870967744,411,320,44,0.7353665213384227,0.9570114656827592
ATR_14_X1_5,1.0,ICICIBANK,811,-1171.1710260727598,-1.4441073071180761,0.021880252975963948,14.549938347718866,483,275,53,0.5861365561929867,1.0065427866694103
ATR_14_X1_5,1.0,INFY,758,-914.2506604502568,-1.2061354359502068,0.049746130977148834,21.503957783641162,437,275,46,0.654688147383002,0.9595350664177345
ATR_14_X1_5,1.0,OLAELEC,772,-450.4887593925064,-0.5835346624255264,0.2817711004730716,41.19170984455959,402,324,46,0.8305472662297986,0.973836791888998
ATR_14_X1_5,1.0,RELIANCE,819,-1102.4073543130035,-1.346040725656903,0.0304098999396846,16.971916971916972,467,286,66,0.6376035813005113,0.9506104621709678
ATR_14_X1_5,1.0,SUZLON,738,-664.6931115094999,-0.9006681727771001,0.12329846058680194,34.68834688346883,386,307,45,0.7261719272371748,0.9372625335249137
ATR_14_X1_5,1.0,TMPV,716,-738.1753725221212,-1.0309711906733536,0.07921980169504816,28.77094972067039,378,290,48,0.7142727309840374,0.9222886589160256
ATR_14_X1_5,1.25,ASHOKLEY,775,-713.7729213346115,-0.9209973178511116,0.16214314853124814,33.03225806451613,445,270,60,0.8242027123681721,0.993521683259313
ATR_14_X1_5,1.25,ICICIBANK,811,-1156.8140290754536,-1.4264044748156024,0.04818980148250805,20.34525277435265,502,241,68,0.6482223970714054,1.0265426591106452
ATR_14_X1_5,1.25,INFY,758,-896.0353190962282,-1.1821046426071613,0.08913724928264821,26.912928759894463,456,248,54,0.7251429052643682,0.9814703302847501
ATR_14_X1_5,1.25,OLAELEC,772,-422.9376243434499,-0.5478466636573185,0.35615507779462824,38.47150259067357,420,291,61,0.936237020642441,0.9974289114136499
ATR_14_X1_5,1.25,RELIANCE,819,-1107.1934669491022,-1.3518845750294288,0.05577584712869527,20.87912087912088,497,245,77,0.7045010135725297,0.9810767230612712
ATR_14_X1_5,1.25,SUZLON,738,-685.9440997191982,-0.9294635497550111,0.16674373895861355,34.28184281842818,426,257,55,0.7983442256734391,0.9868574040366562
ATR_14_X1_5,1.25,TMPV,716,-733.433676114344,-1.024348709656905,0.12423395185994661,32.262569832402235,402,248,66,0.7879898771551815,0.9531575061333202
ATR_14_X1_5,1.5,ASHOKLEY,775,-709.9002903002138,-0.916000374580921,0.20291409020760853,31.35483870967742,462,238,75,0.895153885799851,1.0415448074701248
ATR_14_X1_5,1.5,ICICIBANK,811,-1165.479992823341,-1.4370900034813083,0.0715299288263417,22.318125770653513,521,203,87,0.7112459509571618,1.045030055958985
ATR_14_X1_5,1.5,INFY,758,-886.3913942427022,-1.169381786599871,0.12258162250068592,26.2532981530343,468,214,76,0.7886939356461271,0.9934547504648451
